ID,SimplifiedChinese
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,你成功的机率基于正在测试的属性，每个属性点增加 10% 的成功机率。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,失败的处罚是失去 2 点生命。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,我们选择危险的道路，争取那个护卫。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,如果你成功通过危险测试，你将获得奖励。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_8_PROMPT_TEXT,这是危险选项。
ACT1_04_QUESTTESTTOKENFLIPSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,选择一枚任务币，查看是否获胜。
ACT1_04_QUESTTESTTOKENFLIPSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,点击一枚任务币，查看是否获胜。
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这是你的奖励机率。
ACT1_04_QUESTTESTTOKENSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,这是你的失败机率。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,结束回合。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,将侍从拖拽到随从栏中招募他。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_CUSTOMCONTROLLERTEXT,打开英雄展架，然后切换至库存展架。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,点击此处打开你的库存展架。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,要是你早点到这儿多好啊！就在我们等你时，野兽展开了攻击。他杀掉了我的主人！
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,噢，好吧。你在找护卫？
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,这个家伙迟早能派上用场，塞恩。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,我有新主人了！我会一路追随你！
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_4_ADVICE_TEXT,打个盹之后。我需要睡觉。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_5_ADVICE_TEXT,而且我的脚仍然很疼。
ACT1_05_COMPLETESETTLEMENTQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_6_ADVICE_TEXT,悲惨啊！悲剧啊！哀哉！叫我怎么活下去？
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,在阿门罗中，回合从白天循环到黑夜。
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,这是你的金币——用于打出道具和诡术卡牌。
ACT1_06_DAY2STARTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,每个黎明，你从你的部族和聚落获得金币收入。
ACT1_06_DAY2STARTSEQUENCE_SETCUSTOMCITIZENSEQUENCEELEMENTS_0_QUESTDESCRIPTION_TEXT,我们继续出发吧。你应该通读你的探索日志。
ACT1_10_STARTCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,还记得战力吗？每个战力点能在战斗中提供一颗骰子。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,阿门罗中的骰子有六个独特的符号。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,一把剑代表一次攻击。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,一个盾牌代表一次防御。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,太阳符号白天视为攻击，夜间视作无效
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,怀尔德符号视为攻击，并且会爆发！奖励一次额外的骰子投掷。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,最后，腐化符号视作无效。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,这些是你的对手的属性。它们的作用和你的一样。
ACT1_11_SHOWFIGHTDICESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_7_PROMPT_TEXT,而月亮符号刚好相反，在白天视为失效，在夜间视为攻击。
ACT1_12_CARDCOMMSFOL06SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,如果你在战斗中被杀死，侍从会好心地替你承受致命一击。
ACT1_12_CARDCOMMSITM11SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,忠诚之盾提供 1 盾，让塞恩格挡敌人一次攻击
ACT1_12_CARDCOMMSITM12SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,闪亮的钢剑会在战斗中为你提供 1 剑。
ACT1_12_CARDCOMMSITM16SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,战斧会给你的骰子库增加一颗骰子。不能保证能击中，但是有总比没有好！
ACT1_12_CARDCOMMSITM23SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,国王守卫装备的野兔之戟，会在战斗中减少敌方骰子。
ACT1_12_CARDCOMMSITM27SEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,橡木之矛是一种防御性武器，在这场战斗中，因为你是防守方，所以会直接提供 2 剑。
ACT1_12_GENERALCOMBATCOMMSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,战斗开始时，双方需要展示自己的已装备物品、随从及特殊能力以确定骰子数量
ACT1_12_LOADOUTCOMMSCLN_DAYSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,国王守卫擅长日间战斗，因此在白天加 1 骰子。而狼族相反，擅长夜战
ACT1_12_LOADOUTCOMMSCLN_NIGHTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,狼族种族亲和为夜间，他们在夜间进行的挑战中会获得1附加骰子
ACT1_12_STARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,现在，投掷你的骰子吧。
ACT1_14_KINGSGUARDDIESSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,我们被陷害了！
ACT1_14_SECONDSTARTBURNDOWNTIMERSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,现在，投掷你的骰子吧。
ACT1_15_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,他们在追我们！他们接到命令说我们是叛国者，这是个圈套！肯定是鼠族一手策划的！
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,形势不妙！你看到了吗？我们现在被悬赏了！国王守卫会四处捕抓我们。
ACT1_19_COMPLETESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,我们得快点想一个对策。
ACT1_5_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,恭喜，你完成了第一个任务！
ACT1_6_STARTFIRSTCARDDRAWSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这是你的智力。它决定你的手牌中能容纳的卡牌数量。
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,阿门罗的居民会为你提供传言。通常你可以在数个传言中进行选择。
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,这个传言将通向一个有宝藏（玩偶）作为奖励的任务。
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,这个任务将会考验你的战力。
ACT1_6_STARTRUMOURSELECTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,这是你的战力，它代表你在战斗中的威力。
ACT1_6_STARTTHIRDTURNSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,前往你的下一个任务。
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,你可以在你手中突出显示的装备和追随者中进行选择，并将他们佩戴或招募。
ACT1_6_STARTTHIRDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,你可以在手中拖拽装备和追随者 - 库存展架会自动打开，从而进行佩戴装备和招募追随者。
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,非常好！我们走吧。我们今天要步行穿越一片沼泽，路不好走，可能会受点小伤。
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,我们应该配备那把剑和盾牌，在我们结束之前肯定能用得上！
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,阁下？我收集了一些我主人的补给品。我确定他想让我拿给你。
ACT1_6_STARTTHIRDTURNSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,付出一些代价……
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,结束回合。
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,他带着那个木偶逃走了！
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,说实话，我很高兴我们没找到它。我可不想和腐化扯上关系。
ACT1_7_COMPLETESTONECIRCLEQUESTSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,我们来搭帐篷吧。我们可以从明天开始追捕他。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,请记住，这个任务中较安全的选项。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,完成这个任务仍然会为你增加 1 点战力。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,并且随着你的事迹传开，获得+1声望。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,这是危险选项，将会考验你的战力。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_4_PROMPT_TEXT,你的 5 点战力会让你有 50%的成功几率
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_5_PROMPT_TEXT,奖励是一个宝藏，即我们寻找的木偶和线索。
ACT1_7_QUESTDEFAULTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_6_PROMPT_TEXT,失败，则扣除 1 点生命。
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,狼族塞恩！交出木偶，否则按国王的命令处死你！
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,简直不可理喻！我们根本就没拿那个木偶！
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_2_ADVICE_TEXT,国王守卫为什么攻击我们？我们没做错事！真是疯了。
ACT1_9_STARTKINGSGUARDCOMBATSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_3_ADVICE_TEXT,事情不妙，简直糟糕透顶！他们会追杀我们至死！
ACT1_ATTEMPTENTERDUNGEONSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,塞恩，我们先别靠近地牢，它们可能很危险！
ACT1_ATTEMPTENTERPALACESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,王宫是国王的领地，没有正当理由我们不能进去。
ACT1_FIRSTFORESTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,森林在夜晚提供潜行。潜行中的英雄不会被看见。
ACT1_FIRSTSETTLEMENTSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,走进一个聚落即可控制它。你控制的每个聚落在黎明时提供+1金币收入。
ACT1_FIRSTSTONECIRCLESEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,石环是古老的遗迹，蕴含怀尔德之力。它们为进入其中的人恢复+1生命。
ACT1_FIRSTSWAMPSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,但是进入沼泽地会失去 1 点生命。
ACT1_MOVEDISABLEDFORPROLOGUESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,英雄，那条路错了！我们得向 <quest_tile> 方向进发。
ACT1_MOVEDISABLEDFORPROLOGUESEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_1_ADVICE_TEXT,它在这，以防你忘了！
ACT2_01_FIRSTLOCALPLAYERRUMOURSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这是你的智力点。它决定你的手中能拿几张卡牌。
ACT2_01_FIRSTLOCALPLAYERRUMOURSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,这是一个智力任务。
ACT2_01_FIRSTLOCALPLAYERTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,在你自己身上使用伪装，进行隐藏。
ACT2_01_FIRSTLOCALPLAYERTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,记得装备有用的道具。它们会在你的旅途中帮助你。
ACT2_01_FIRSTLOCALPLAYERTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,记得装备有用的道具。它们会在你的旅途中帮助你。
ACT2_01_FIRSTLOCALPLAYERTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,伪装是一张诡术卡牌，这些卡牌包含政治手段、间谍、陷阱和诡术等。
